,sqft_living,price
0,1180,221900.0
1,2570,538000.0
2,770,180000.0
3,1960,604000.0
4,1680,510000.0
5,5420,1225000.0
6,1715,257500.0
7,1060,291850.0
8,1780,229500.0
9,1890,323000.0
10,3560,662500.0
11,1160,468000.0
12,1430,310000.0
13,1370,400000.0
14,1810,530000.0
15,2950,650000.0
16,1890,395000.0
17,1600,485000.0
18,1200,189000.0
19,1250,230000.0
20,1620,385000.0
21,3050,2000000.0
22,2270,285000.0
23,1070,252700.0
24,2450,329000.0
25,1710,233000.0
26,2450,937000.0
27,1400,667000.0
28,1520,438000.0
29,2570,719000.0
30,2320,580500.0
31,1190,280000.0
32,2330,687500.0
33,1090,535000.0
34,2060,322500.0
35,2300,696000.0
36,1660,550000.0
37,2360,640000.0
38,1220,240000.0
39,2620,605000.0
40,2570,625000.0
41,4220,775000.0
42,3595,861990.0
43,1570,685000.0
44,1280,309000.0
45,3160,488000.0
46,990,210490.0
47,2290,785000.0
48,1250,450000.0
49,2753,1350000.0
50,1190,228000.0
51,3150,345000.0
52,1410,600000.0
53,1980,585000.0
54,2730,920000.0
55,2830,885000.0
56,2250,292500.0
57,2420,301000.0
58,3250,951000.0
59,1850,430000.0
60,2150,650000.0
61,1260,289000.0
62,2519,505000.0
63,1540,549000.0
64,1660,425000.0
65,2770,317625.0
66,2720,975000.0
67,2240,287000.0
68,1000,204000.0
69,3200,1325000.0
70,4770,1040000.0
71,1260,325000.0
72,2750,571000.0
73,2380,360000.0
74,1790,349000.0
75,3430,832500.0
76,1760,380000.0
77,1040,480000.0
78,1410,410000.0
79,3450,720000.0
80,2350,390000.0
81,1900,360000.0
82,2020,355000.0
83,1680,356000.0
84,960,315000.0
85,2140,940000.0
86,2660,305000.0
87,2770,461000.0
88,1610,215000.0
89,1030,335000.0
90,1980,243500.0
91,3520,1099880.0
92,1200,153000.0
93,1580,430000.0
94,1580,700000.0
95,3300,905000.0
96,1960,247500.0
97,1160,199000.0
98,1810,314000.0
99,2320,437500.0
100,2070,850830.0
101,1980,555000.0
102,2190,699950.0
103,2920,1088000.0
104,1210,290000.0
105,2340,375000.0
106,1670,460000.0
107,1240,188500.0
108,3140,680000.0
109,2030,470000.0
110,2310,597750.0
111,1260,570000.0
112,1540,272500.0
113,2080,329950.0
114,3230,480000.0
115,4380,740500.0
116,1590,518500.0
117,880,205425.0
118,1570,171800.0
119,1610,535000.0
120,2400,660000.0
121,1450,391500.0
122,770,395000.0
123,2100,445000.0
124,2910,770000.0
125,2750,1450000.0
126,2100,445000.0
127,2160,260000.0
128,2320,822500.0
129,2070,430000.0
130,1060,212000.0
131,2010,660500.0
132,3950,784000.0
133,2010,453246.0
134,2140,675000.0
135,1320,199000.0
136,2020,220000.0
137,2590,452000.0
138,1190,382500.0
139,1170,519950.0
140,1110,665000.0
141,2820,527700.0
142,1610,205000.0
143,1060,420000.0
144,2030,500000.0
145,3670,921500.0
146,2550,890000.0
147,2420,430000.0
148,2260,258000.0
149,1430,511000.0
150,1360,532170.0
151,1110,560000.0
152,1250,282950.0
153,5180,2250000.0
154,700,350000.0
155,1180,215000.0
156,3960,650000.0
157,2640,320000.0
158,1270,247000.0
159,1760,320000.0
160,2060,255000.0
161,1780,438000.0
162,3400,900000.0
163,1910,441000.0
164,2020,420000.0
165,1580,370000.0
166,1340,269950.0
167,2680,807100.0
168,2680,653000.0
169,1370,371500.0
170,1560,284000.0
171,2160,272000.0
172,1340,313000.0
173,3880,917500.0
174,2590,673000.0
175,1120,425000.0
176,1970,399950.0
177,1220,385000.0
178,1950,269950.0
179,1350,330000.0
180,1670,260000.0
181,2380,470000.0
182,2440,589000.0
183,1050,163500.0
184,3130,835000.0
185,4090,1095000.0
186,1490,269000.0
187,1900,560000.0
188,1330,615000.0
189,2230,585188.0
190,1650,305000.0
191,1190,166950.0
192,2140,799000.0
193,2180,400000.0
194,1060,230000.0
195,1690,256883.0
196,1970,423000.0
197,2150,465000.0
198,1910,440000.0
199,1350,385000.0
200,860,210000.0
201,1940,297000.0
202,1010,470000.0
203,1300,226500.0
204,910,274250.0
205,2480,840000.0
206,2440,677900.0
207,1010,425000.0
208,900,180250.0
209,2300,464000.0
210,1550,320000.0
211,1270,625504.0
212,2240,592500.0
213,2714,465000.0
214,1720,477000.0
215,850,280000.0
216,3300,1505000.0
217,2250,445838.0
218,3900,1072000.0
219,1320,467000.0
220,2760,686000.0
221,1750,279950.0
222,2330,527000.0
223,2220,325000.0
224,2020,328000.0
225,1250,390000.0
226,1510,479950.0
227,1720,264950.0
228,1430,235000.0
229,1480,516500.0
230,1450,655000.0
